ID,Kategori Umum,Kategori Khusus,Penyelenggara,Posisi,Deskripsi,Durasi,Tanggal Pendaftaran,Link,CP,Jenis Kontak,Lokasi,Persyaratan Pendaftaran,Skill yang didapat,,,
11,Kegiatan Umum,Organisasi Luar Kampus,StudentsxCEOs,Staff,"StudentsxCEOs, organisasi non-profit yang fokus pada pengembangan kepemimpinan dan kewirausahaan bagi para pelajar dan mahasiswa, menawarkan berbagai kegiatan menarik dan menantang untuk membantu anggotanya berkembang.

Melalui seminar, workshop, konferensi, proyek, kompetisi, dan mentorship, kamu dapat mengasah skill kepemimpinan, kewirausahaan, komunikasi, pemecahan masalah, manajemen waktu, keterampilan antarbudaya, presentasi, dan kerja sama tim.",1 tahun,"15-28 Februari 2024
1-14 September 2024",https://www.linkedin.com/company/studentsxceos/?originalSubdomain=id,6281315905075,Whatsapp,Yogyakarta,"- Mahasiswa
- Batasan keterlibatan maksimal pada dua organisasi pada saat rekrutmen terbuka atau komitmen untuk tidak bergabung pada lebih dari dua organisasi selama masa kerja

- Lebih diutamakan mahir menggunakan Ms. Excel atau Google Spreadsheet 

- Menunjukkan atribut kepribadian positif, keterampilan kepemimpinan, dan komitmen","- Teamwork
- Analytical thinking
- Spreadsheets skills
- Communication skill
- Leadership",,,
12,Kegiatan Umum,Organisasi Luar Kampus,StudentsxCEOs,Staff,"StudentsxCEOs, organisasi non-profit yang fokus pada pengembangan kepemimpinan dan kewirausahaan bagi para pelajar dan mahasiswa, menawarkan berbagai kegiatan menarik dan menantang untuk membantu anggotanya berkembang.

Melalui seminar, workshop, konferensi, proyek, kompetisi, dan mentorship, kamu dapat mengasah skill kepemimpinan, kewirausahaan, komunikasi, pemecahan masalah, manajemen waktu, keterampilan antarbudaya, presentasi, dan kerja sama tim.",1 tahun,"15-28 Februari 2024
1-14 September 2024",https://www.linkedin.com/company/studentsxceos/?originalSubdomain=id,6281315905075,Whatsapp,Bandung,"- Mahasiswa
- Batasan keterlibatan maksimal pada dua organisasi pada saat rekrutmen terbuka atau komitmen untuk tidak bergabung pada lebih dari dua organisasi selama masa kerja

- Lebih diutamakan mahir menggunakan Ms. Excel atau Google Spreadsheet 

- Menunjukkan atribut kepribadian positif, keterampilan kepemimpinan, dan komitmen","- Teamwork
- Analytical thinking
- Spreadsheets skills
- Communication skill
- Leadership",,,
13,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Medan,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
14,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Jawa,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
15,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Bali,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
16,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Kupang,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
17,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Samarinda,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
18,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Makassar,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
19,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Ambon,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
20,Kegiatan Umum,Organisasi Luar Kampus,Young on Top (YOT),Staff,"Young On Top (YOT) merupakan organisasi kepemimpinan dan pengembangan diri yang memberdayakan para pemuda untuk menjadi pemimpin masa depan bangsa. Melalui berbagai program menarik dan menantang, YOT membantu para anggotanya mengasah berbagai skill penting, seperti kepemimpinan, komunikasi efektif, berpikir kritis, kerja sama tim, dan kewirausahaan. Kegiatan-kegiatan di YOT meliputi seminar, workshop, konferensi, mentorship, proyek, kompetisi, dan networking. ",1 tahun,4-17 Desember 2024,https://www.youngontop.com/,6285691600027,Whatsapp,Jayapura,"- Pria / Wanita 17-25 Tahun.
- Memiliki rasa ingin belajar yang tinggi.
- Memiliki komitmen tinggi saat kepengurusan.
- Mengikuti sosial media YOT (Instagram, Twitter, YouTube, dll)
- Bisa bekerjasama secara profesional
- Silahkan isi form pendaftaran di https://bit.ly/OprecYOTBatch7
- Submit CV terbaru
","- Teamwork
- Analytical thinking
- Communication skill
- Leadership
",,,
21,Kegiatan Umum,Organisasi Luar Kampus,Youth Ranger Jakarta Pusat,Staff,"Youth Ranger Jakarta Pusat (YRI) memberdayakan para pemuda untuk menjadi pemimpin inspiratif dan agen perubahan positif di Jakarta Pusat. Melalui berbagai program menarik dan menantang, YRI membantu para anggotanya mengembangkan skill kepemimpinan, komunikasi, berpikir kritis, kerja sama tim, dan kepedulian sosial. Kegiatan-kegiatan di YRI meliputi pelatihan, workshop, proyek aksi nyata, konferensi, seminar, mentorship, dan networking. Di sini, para pemuda dapat belajar dari para mentor berpengalaman, bertemu dengan individu-individu inspiratif, dan membangun jaringan yang luas.",1 tahun,"10-28 Februari 2024
 1-14 September 2024",https://youthrangerJakarta Pusat.com/,‪62895811074567‬,Whatsapp,Serang,"- Berusia 15-35 tahun
- Follow akun instagram @youthranger.id
- Mention 8 Teman kamu di Postingan Instagram @youthranger.id
- Share Informasi ini di 3 Group Whatsapp kamu
- Isi form dan lampirkan bukti di tinyurl.com/DaftarRangersYRI2023 (klik link di bio @youthranger.id)
- Kamu Join ke Group WA Rangers YRI
- Setelah itu kamu sudah menjadi Official Rangers YRI","
- Komunikasi
-Leadership
- Kolaborasi
- Kreativitas",,,
22,Kegiatan Umum,Organisasi Luar Kampus,Youth Ranger Jakarta Pusat,Staff,"Youth Ranger Jakarta Pusat (YRI) memberdayakan para pemuda untuk menjadi pemimpin inspiratif dan agen perubahan positif di Jakarta Pusat. Melalui berbagai program menarik dan menantang, YRI membantu para anggotanya mengembangkan skill kepemimpinan, komunikasi, berpikir kritis, kerja sama tim, dan kepedulian sosial. Kegiatan-kegiatan di YRI meliputi pelatihan, workshop, proyek aksi nyata, konferensi, seminar, mentorship, dan networking. Di sini, para pemuda dapat belajar dari para mentor berpengalaman, bertemu dengan individu-individu inspiratif, dan membangun jaringan yang luas.",1 tahun,"10-28 Februari 2024
 1-14 September 2024",https://youthrangerJakarta Pusat.com/,‪62895811074567‬,Whatsapp,Surabaya,"- Berusia 15-35 tahun
- Follow akun instagram @youthranger.id
- Mention 8 Teman kamu di Postingan Instagram @youthranger.id
- Share Informasi ini di 3 Group Whatsapp kamu
- Isi form dan lampirkan bukti di tinyurl.com/DaftarRangersYRI2023 (klik link di bio @youthranger.id)
- Kamu Join ke Group WA Rangers YRI
- Setelah itu kamu sudah menjadi Official Rangers YRI","
- Komunikasi
-Leadership
- Kolaborasi
- Kreativitas",,,
23,Kegiatan Umum,Organisasi Luar Kampus,Youth Ranger Jakarta Pusat,Staff,"Youth Ranger Jakarta Pusat (YRI) memberdayakan para pemuda untuk menjadi pemimpin inspiratif dan agen perubahan positif di Jakarta Pusat. Melalui berbagai program menarik dan menantang, YRI membantu para anggotanya mengembangkan skill kepemimpinan, komunikasi, berpikir kritis, kerja sama tim, dan kepedulian sosial. Kegiatan-kegiatan di YRI meliputi pelatihan, workshop, proyek aksi nyata, konferensi, seminar, mentorship, dan networking. Di sini, para pemuda dapat belajar dari para mentor berpengalaman, bertemu dengan individu-individu inspiratif, dan membangun jaringan yang luas.",1 tahun,"10-28 Februari 2024
 1-14 September 2024",https://youthrangerJakarta Pusat.com/,‪62895811074567‬,Whatsapp,Medan,"- Berusia 15-35 tahun
- Follow akun instagram @youthranger.id
- Mention 8 Teman kamu di Postingan Instagram @youthranger.id
- Share Informasi ini di 3 Group Whatsapp kamu
- Isi form dan lampirkan bukti di tinyurl.com/DaftarRangersYRI2023 (klik link di bio @youthranger.id)
- Kamu Join ke Group WA Rangers YRI
- Setelah itu kamu sudah menjadi Official Rangers YRI","
- Komunikasi
-Leadership
- Kolaborasi
- Kreativitas",,,
24,Kegiatan Umum,Organisasi Luar Kampus,Youth Ranger Jakarta Pusat,Staff,"Youth Ranger Jakarta Pusat (YRI) memberdayakan para pemuda untuk menjadi pemimpin inspiratif dan agen perubahan positif di Jakarta Pusat. Melalui berbagai program menarik dan menantang, YRI membantu para anggotanya mengembangkan skill kepemimpinan, komunikasi, berpikir kritis, kerja sama tim, dan kepedulian sosial. Kegiatan-kegiatan di YRI meliputi pelatihan, workshop, proyek aksi nyata, konferensi, seminar, mentorship, dan networking. Di sini, para pemuda dapat belajar dari para mentor berpengalaman, bertemu dengan individu-individu inspiratif, dan membangun jaringan yang luas.",1 tahun,"10-28 Februari 2024
 1-14 September 2024",https://youthrangerJakarta Pusat.com/,‪62895811074567‬,Whatsapp,Kupang,"- Berusia 15-35 tahun
- Follow akun instagram @youthranger.id
- Mention 8 Teman kamu di Postingan Instagram @youthranger.id
- Share Informasi ini di 3 Group Whatsapp kamu
- Isi form dan lampirkan bukti di tinyurl.com/DaftarRangersYRI2023 (klik link di bio @youthranger.id)
- Kamu Join ke Group WA Rangers YRI
- Setelah itu kamu sudah menjadi Official Rangers YRI","
- Komunikasi
-Leadership
- Kolaborasi
- Kreativitas",,,
25,Kegiatan Umum,Organisasi Luar Kampus,Youth Ranger Jakarta Pusat,Staff,"Youth Ranger Jakarta Pusat (YRI) memberdayakan para pemuda untuk menjadi pemimpin inspiratif dan agen perubahan positif di Jakarta Pusat. Melalui berbagai program menarik dan menantang, YRI membantu para anggotanya mengembangkan skill kepemimpinan, komunikasi, berpikir kritis, kerja sama tim, dan kepedulian sosial. Kegiatan-kegiatan di YRI meliputi pelatihan, workshop, proyek aksi nyata, konferensi, seminar, mentorship, dan networking. Di sini, para pemuda dapat belajar dari para mentor berpengalaman, bertemu dengan individu-individu inspiratif, dan membangun jaringan yang luas.",1 tahun,"10-28 Februari 2024
 1-14 September 2024",https://youthrangerJakarta Pusat.com/,‪62895811074567‬,Whatsapp,Aceh,"- Berusia 15-35 tahun
- Follow akun instagram @youthranger.id
- Mention 8 Teman kamu di Postingan Instagram @youthranger.id
- Share Informasi ini di 3 Group Whatsapp kamu
- Isi form dan lampirkan bukti di tinyurl.com/DaftarRangersYRI2023 (klik link di bio @youthranger.id)
- Kamu Join ke Group WA Rangers YRI
- Setelah itu kamu sudah menjadi Official Rangers YRI","
- Komunikasi
-Leadership
- Kolaborasi
- Kreativitas",,,
